market_id,created_at,actual_delivery_time,store_id,store_primary_category,order_protocol,total_items,subtotal,num_distinct_items,min_item_price,max_item_price,total_onshift_partners,total_busy_partners,total_outstanding_orders,delivery_time_minutes,order_hour,order_day_of_week,order_is_weekend,hour_sin,hour_cos,price_range,avg_item_price,items_per_distinct,busy_partner_ratio,available_partners,outstanding_per_partner
4,2015-01-23 01:13:30,2015-01-23 01:48:41,6aab1270668d8cac7cef2566a1c5f569,other,1,4.0,3375.0,4.0,200.0,1250.0,47.0,36.0,53.0,35.18333333333333,1,4,0,0.25881904510252074,0.9659258262890683,1050.0,843.75,1.0,0.75,11.0,1.1041666666666667
6,2015-02-05 21:29:05,2015-02-05 21:50:32,130f1a8e9e102707f3f91b010f151b0b,mexican,3,1.0,1035.0,1.0,850.0,850.0,37.0,34.0,41.0,21.45,21,3,0,-0.7071067811865477,0.7071067811865474,0.0,1035.0,1.0,0.8947368421052632,3.0,1.0789473684210527
1,2015-02-13 22:15:03,2015-02-13 23:01:18,d69116f8b0140cdeb1f99a4d5096ffe4,burger,1,1.0,1403.0,1.0,905.0,959.0,14.0,23.0,21.0,46.25,22,4,0,-0.5000000000000004,0.8660254037844384,54.0,1403.0,1.0,1.5333333333333334,0.0,1.4
3,2015-02-12 19:39:36,2015-02-12 20:26:32,31f0a067ca77d80b3704aee9141bc2ea,other,3,2.0,2868.0,2.0,169.0,2699.0,24.0,24.0,32.0,46.93333333333333,19,3,0,-0.9659258262890684,0.2588190451025203,2530.0,1434.0,1.0,0.96,0.0,1.28
4,2015-02-13 20:30:43,2015-02-13 21:17:52,4a308d84cdd04aa2015bbe13622d5d7c,fast,4,15.0,1005.0,5.0,0.0,329.0,96.0,86.0,136.0,47.15,20,4,0,-0.8660254037844386,0.5000000000000001,329.0,67.0,3.0,0.8865979381443299,10.0,1.402061855670103
2,2015-02-03 18:52:31,2015-02-03 19:55:57,faacbcd5bf1d018912c116bf2783e9a1,mexican,5,1.0,1499.0,1.0,799.0,799.0,22.0,22.0,28.0,63.43333333333333,18,1,0,-1.0,-1.8369701987210297e-16,0.0,1499.0,1.0,0.9565217391304348,0.0,1.2173913043478262
2,2015-02-05 22:04:46,2015-02-05 22:27:45,98b297950041a42470269d56260243a1,indian,3,2.0,1598.0,2.0,799.0,799.0,24.0,24.0,23.0,22.983333333333334,22,3,0,-0.5000000000000004,0.8660254037844384,0.0,799.0,1.0,0.96,0.0,0.92
4,2015-02-08 20:30:07,2015-02-08 21:18:43,32e3b25cfdadc8779a12ddc58c0b2a8d,italian,4,6.0,1174.0,3.0,129.0,269.0,4.0,4.0,5.0,48.6,20,6,1,-0.8660254037844386,0.5000000000000001,140.0,195.66666666666666,2.0,0.8,0.0,1.0
3,2015-02-02 22:26:14,2015-02-02 23:27:21,f60ce002e5182e7b99a8a59b6d865a12,other,1,2.0,2550.0,2.0,900.0,1150.0,9.0,9.0,15.0,61.11666666666667,22,0,0,-0.5000000000000004,0.8660254037844384,250.0,1275.0,1.0,0.9,0.0,1.5
3,2015-02-09 03:47:10,2015-02-09 04:29:10,23b023b22d0bf47626029d5961328028,pizza,1,1.0,2249.0,1.0,1699.0,1699.0,16.0,17.0,18.0,42.0,3,0,0,0.7071067811865475,0.7071067811865476,0.0,2249.0,1.0,1.0,0.0,1.0588235294117647
